Dzielnica,Metraż,Pokoje,Piętro,Cena
Białołęka,65.52,3,2,786240.0
Żoliborz,65.0,4,2,1092000.0
Praga-Południe,36.0,1,2,660000.0
Włochy,37.0,2,2,540000.0
Praga-Południe,60.0,3,2,1280000.0
Mokotów,57.47,3,2,1598000.0
Mokotów,64.0,3,2,1100000.0
Wola,33.0,1,2,986700.0
Mokotów,54.5,3,2,1470000.0
Mokotów,88.02,4,2,1650000.0
Wola,67.0,3,2,2450000.0
Wilanów,86.6,3,2,1896540.0
Wilanów,80.4,3,2,1680000.0
Mokotów,63.0,3,2,1360000.0
Wilanów,83.0,3,2,1650000.0
Bemowo,90.5,3,2,1674250.0
Ursynów,61.0,3,2,1100000.0
Mokotów,47.0,2,2,729000.0
Białołęka,50.9,2,2,720000.0
Bemowo,87.21,3,2,1320000.0
Ochota,47.13,2,2,869000.0
Wola,48.0,2,2,845000.0
Praga-Południe,67.35,4,2,1290000.0
Praga-Południe,40.33,2,2,845000.0
Praga-Południe,65.63,3,2,1247000.0
Praga-Południe,68.31,3,2,1368000.0
Praga-Południe,45.44,2,2,940000.0
Praga-Południe,46.14,2,2,959720.0
Praga-Południe,45.68,2,2,941000.0
Praga-Południe,43.5,2,2,930000.0
Wola,92.0,4,2,20990.0
Praga-Północ,47.0,3,2,600000.0
Wawer,76.4,4,2,1350000.0
Ursynów,51.0,2,2,798000.0
Włochy,62.0,2,2,990000.0
Bielany,45.2,2,2,673480.0
Ursus,49.0,2,2,898000.0
Włochy,37.0,2,2,540000.0
Praga-Południe,30.0,1,2,685000.0
Wola,56.0,3,2,840000.0
Targówek,60.66,3,2,1200000.0
Białołęka,116.0,5,2,10026.0
Targówek,84.7,3,2,1299000.0
Białołęka,72.0,3,2,1020000.0
Wola,77.0,4,2,21168.0
Mokotów,49.14,2,2,877771.0
Wola,99.0,4,2,23550.0
Mokotów,38.2,2,2,643670.0
Ursus,45.2,2,2,769000.0
Mokotów,72.74,4,2,1043819.0
Praga-Południe,49.54,2,2,1326000.0
Bielany,49.62,2,2,1166070.0
Mokotów,7542.0,4,2,1097361.0
Wilanów,85.42,3,2,2800000.0
Mokotów,50.0,3,2,779999.0
Bielany,55.0,3,2,1016020.0
Żoliborz,71.85,4,2,1243005.0
Bielany,38.36,2,2,678353.0
Bielany,51.95,3,2,971465.0
Bielany,38.36,2,2,692398.0
Żoliborz,60.0,3,2,1045975.0
Wawer,124.77,5,2,1350000.0
Praga-Południe,65.0,3,2,889000.0
Białołęka,50.23,3,2,598412.0
Białołęka,51.53,3,2,660000.0
Praga-Południe,54.73,3,2,947442.0
Praga-Południe,36.93,2,2,700000.0
Praga-Południe,30.0,1,2,685000.0
Praga-Południe,51.31,3,2,932311.0
Białołęka,43.46,2,2,543250.0
Białołęka,50.45,3,2,707932.0
Mokotów,56.4,3,2,893940.0
Mokotów,78.78,4,2,1446401.0
Mokotów,33.13,2,2,701296.0
Mokotów,39.92,2,2,781633.0
Mokotów,59.12,3,2,1117368.0
Śródmieście,22.84,1,2,559000.0
Mokotów,45.05,2,2,905000.0
Wola,32.0,2,2,750000.0
Ursynów,135.0,5,2,2566543.0
Praga-Południe,120.0,4,2,1999000.0
Ochota,80.57,3,2,1649800.0
Praga-Południe,64.0,3,2,848000.0
Mokotów,48.0,3,2,729000.0
Wawer,48.0,2,2,768000.0
Mokotów,45.0,3,2,830000.0
Śródmieście,71.0,3,2,1370000.0
Bemowo,45.81,2,2,719000.0
Śródmieście,93.0,4,2,29500.0
Białołęka,81.0,3,2,849000.0
Praga-Północ,27.58,1,2,601244.0
Mokotów,72.54,3,2,1394508.0
Wawer,107.59,4,2,1270000.0
Włochy,97.54,4,2,2233666.0
Praga-Północ,38.39,2,2,748605.0
Włochy,73.89,3,2,1056627.0
Ursus,56.27,2,2,813101.0
Praga-Południe,51.31,3,2,932311.0
Praga-Północ,245.63,5,2,7093980.0
Wola,37.3,2,2,786000.0
Wilanów,43.1,2,2,990000.0
Wola,41.53,2,2,1059000.0
Praga-Południe,59.0,2,2,15385.0
Białołęka,63.0,3,2,12904.0
Praga-Południe,37.88,2,2,819000.0
Bemowo,72.41,4,2,1199878.0
Praga-Południe,65.12,3,2,1243792.0
Białołęka,67.6,3,2,986284.0
Mokotów,66.98,3,2,1374429.0
Wilanów,134.56,4,2,3810379.0
Białołęka,70.24,4,2,863952.0
Praga-Południe,40.85,2,2,710967.0
Włochy,59.91,3,2,959523.0
Białołęka,51.0,3,2,699000.0
Śródmieście,37.21,1,2,841000.0
Praga-Południe,46.0,2,2,840000.0
Praga-Południe,149.0,5,2,22900.0
Ursus,45.06,2,2,725466.0
Białołęka,37.03,2,2,551747.0
Wola,65.78,3,2,1574000.0
Śródmieście,97.38,4,2,3371536.0
Wawer,124.77,5,2,1350000.0
Śródmieście,66.07,3,2,2907080.0
Śródmieście,47.5,2,2,829000.0
Włochy,59.23,3,2,999800.0
Włochy,16.0,4,2,1151184.0
Ursus,45.12,2,2,685824.0
Żoliborz,63.1,2,2,999000.0
Praga-Południe,67.27,3,2,1319000.0
Włochy,41.49,2,2,856615.0
Wola,63.0,3,2,1220000.0
Mokotów,26.5,1,2,544574.0
Śródmieście,26.7,2,2,499000.0
Białołęka,84.0,4,2,13349.0
Targówek,107.09,5,2,1317207.0
Mokotów,57.0,3,2,938244.0
Ochota,61.0,2,2,1460000.0
Wilanów,83.0,3,2,1640000.0
Białołęka,53.7,2,2,635000.0
Ursus,46.08,3,2,920000.0
Wola,35.13,2,2,919999.0
Mokotów,27.9,1,2,499999.0
Białołęka,62.0,3,2,990000.0
Mokotów,48.0,3,2,671952.0
Białołęka,64.19,3,2,751680.0
Wesoła,35.5,2,2,530000.0
